Instantaneous_power_reading(W),Minimum_during_sampling_period(W),Maximum_during_sampling_period(W),Average_power_reading_over_sample_period(W),Day_of_Week,Month,Day,Time,Year,Sampling_period,Power_reading_state_is,Time_elapsed
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001360
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001365
279,262,279,266,Sun,Nov,15,23:41:50,2020,00000005,activated,00001370
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001375
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001380
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001385
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001390
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001395
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001400
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001405
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001410
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001415
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001420
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001425
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001430
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001435
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001440
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001445
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001450
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001455
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001460
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001465
279,262,279,266,Sun,Nov,15,23:41:51,2020,00000005,activated,00001470
